model_name,aspect,p,r,f1,,m-p,m-r,m-f1,,acc
,,0.862027268,0.879724509,0.867728437,,0.68515492,0.593873175,0.612505247,,0.879724509
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,space_label,0.884778765,0.889215522,0.886341159,,0.681560481,0.642102251,0.654773537,,0.889215522
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,power_label,0.867687355,0.886863766,0.874431207,,0.705869904,0.621702441,0.649729255,,0.886863766
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,manipulation_label,0.895126061,0.911557198,0.901904673,,0.658523421,0.582965724,0.604820183,,0.911557198
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,consumption_label,0.849761709,0.864270116,0.856136591,,0.670369278,0.625764471,0.643503914,,0.864270116
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,comfort_label,0.788405483,0.813791366,0.79513565,,0.702686894,0.61025377,0.631079422,,0.813791366
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,outside_label,0.939615788,0.954560726,0.942297008,,0.822833192,0.53714308,0.556746196,,0.954560726
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,inside_label,0.796035659,0.817822946,0.803286773,,0.674898531,0.598873436,0.615709854,,0.817822946
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_4_gru_dim_256_epoch_3_batchSize_80,value_label,0.883620837,0.903662019,0.891396313,,0.678177062,0.599475697,0.626269247,,0.903662019
,,0.863128957,0.880217957,0.868866172,,0.699364845,0.602285109,0.622828951,,0.880217957
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,space_label,0.88310822,0.896354779,0.888453889,,0.694900878,0.630720375,0.652701707,,0.896354779
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,power_label,0.867893267,0.883924072,0.873810524,,0.705842706,0.615200732,0.642701907,,0.883924072
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,manipulation_label,0.8955223,0.910633294,0.901814157,,0.652408129,0.580567185,0.599890867,,0.910633294
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,consumption_label,0.847385336,0.867041828,0.855791329,,0.663476917,0.619185892,0.636684977,,0.867041828
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,comfort_label,0.78969078,0.799596842,0.791331979,,0.700270598,0.622204799,0.637141956,,0.799596842
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,outside_label,0.939642287,0.956660507,0.941596037,,0.83289605,0.528345487,0.545913527,,0.956660507
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,inside_label,0.797514208,0.81941878,0.804712943,,0.67554665,0.599033529,0.615299894,,0.81941878
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,value_label,0.886726605,0.902150176,0.893248267,,0.6744744,0.620298035,0.642200522,,0.902150176
,,0.863435375,0.879472535,0.868844891,,0.699977041,0.601944504,0.621566919,,0.879472535
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,space_label,0.88357524,0.892911137,0.885840597,,0.706909668,0.620223981,0.638015943,,0.892911137
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,power_label,0.865881852,0.888627583,0.872588637,,0.70978433,0.604821848,0.634719469,,0.888627583
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,manipulation_label,0.900042868,0.909961364,0.903637665,,0.686340687,0.591832908,0.611557588,,0.909961364
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,consumption_label,0.848203923,0.866789854,0.855999784,,0.667852695,0.611533912,0.631854665,,0.866789854
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,comfort_label,0.787990216,0.801108685,0.792870416,,0.681343346,0.628044924,0.643861593,,0.801108685
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,outside_label,0.934820038,0.954728708,0.941651713,,0.646876225,0.532787327,0.549743965,,0.954728708
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,inside_label,0.792956055,0.815975139,0.801928547,,0.654102575,0.598199057,0.613749041,,0.815975139
BertCNNBiGRUModel_4type_add_aspect__filter_256_window_size_5_gru_dim_256_epoch_3_batchSize_80,value_label,0.885463564,0.906937678,0.89322736,,0.695440166,0.602677496,0.633600882,,0.906937678
,,0.862366719,0.879630018,0.86846809,,0.681081212,0.598765182,0.619637893,,0.879630018
