experiment_name,weighted_precision,weighted_recall,weighted_f1,macro_precision,macro_recall,macro_f1,f1_score,accuracy
name_price,0.22008840115835998,0.4691358024691358,0.2996161427533977,0.11728395061728394,0.25,0.1596638655462185,0.1596638655462185,0.4691358024691358
name_environment,0.25621094345374185,0.5061728395061729,0.34021453147136205,0.12654320987654322,0.25,0.1680327868852459,0.1680327868852459,0.5061728395061729
name_location,0.0011111111111111111,0.03333333333333333,0.002150537634408602,0.008333333333333333,0.25,0.016129032258064516,0.016129032258064516,0.03333333333333333
name_service,0.28444444444444444,0.5333333333333333,0.37101449275362325,0.13333333333333333,0.25,0.1739130434782609,0.1739130434782609,0.5333333333333333
name_location,0.5106666666666666,0.6333333333333333,0.5589371980676329,0.22999999999999998,0.4642857142857143,0.27898550724637683,0.27898550724637683,0.6333333333333333
name_service,0.20512820512820512,0.26666666666666666,0.1631372549019608,0.1298076923076923,0.234375,0.12794117647058825,0.12794117647058825,0.26666666666666666
name_price,0.5057471264367817,0.4,0.2627777777777778,0.3448275862068966,0.2727272727272727,0.17916666666666664,0.17916666666666664,0.4
name_location,0.5108452950558214,0.3,0.35333333333333333,0.19497607655502391,0.34523809523809523,0.15,0.15,0.3
name_service,0.11228070175438595,0.26666666666666666,0.1580246913580247,0.10526315789473684,0.25,0.14814814814814814,0.14814814814814814,0.26666666666666666
name_price,0.14259259259259258,0.23333333333333334,0.17701149425287357,0.09722222222222222,0.1590909090909091,0.1206896551724138,0.1206896551724138,0.23333333333333334
name_environment,0.27586206896551724,0.5,0.35555555555555557,0.12931034482758622,0.234375,0.16666666666666669,0.16666666666666669,0.5
name_dish,0.43678160919540227,0.6333333333333333,0.5170068027210885,0.16379310344827586,0.2375,0.19387755102040816,0.19387755102040816,0.6333333333333333
name_location,0.49,0.7,0.5764705882352941,0.175,0.25,0.20588235294117646,0.20588235294117646,0.7
name_service,0.07111111111111111,0.26666666666666666,0.11228070175438597,0.06666666666666667,0.25,0.10526315789473685,0.10526315789473685,0.26666666666666666
name_price,0.12643678160919541,0.3333333333333333,0.18333333333333338,0.08620689655172414,0.22727272727272727,0.12500000000000003,0.12500000000000003,0.3333333333333333
